game_id,genre_id
game_000147,1
game_000148,1
game_000148,29
game_000148,28
game_000148,2
game_000148,37
game_000149,1
game_000149,29
game_000149,28
game_000149,2
game_000149,37
game_000150,1
game_000151,1
game_000151,25
game_000151,23
game_000152,1
game_000152,29
game_000152,70
game_000153,1
game_000153,37
game_000153,23
game_000153,29
game_000153,2
game_000154,1
game_000155,1
game_000155,3
game_000156,1
game_000156,25
game_000157,2
game_000158,1
game_000158,25
game_000158,23
game_000158,28
game_000159,1
game_000159,23
game_000159,29
game_000159,28
game_000159,2
game_000160,1
game_000161,1
game_000161,25
game_000162,23
game_000162,28
game_000162,2
game_000163,28
game_000163,2
game_000164,1
game_000164,23
game_000164,3
game_000165,1
game_000165,25
game_000165,9
game_000165,18
game_000166,1
game_000166,23
game_000166,28
game_000166,2
game_000167,25
game_000167,23
game_000167,2
game_000168,25
game_000168,4
game_000168,3
game_000168,28
game_000169,1
game_000170,25
game_000170,23
game_000171,23
game_000171,28
game_000172,1
game_000172,4
game_000172,23
game_000172,29
game_000172,9
game_000172,37
game_000173,1
game_000173,25
game_000173,23
game_000174,23
game_000174,28
game_000175,1
game_000176,3
game_000176,28
game_000176,2
game_000177,1
game_000178,1
game_000178,25
game_000178,23
game_000179,1
game_000179,25
game_000179,4
game_000179,23
game_000179,3
game_000180,1
game_000180,25
game_000180,3
game_000181,25
game_000181,37
game_000181,23
game_000182,1
game_000182,23
game_000182,2
game_000183,1
game_000183,2
game_000184,28
game_000184,2
game_000185,1
game_000185,4
game_000185,23
game_000186,3
game_000187,1
game_000187,25
game_000188,1
game_000189,28
game_000189,18
game_000190,1
game_000190,25
game_000190,23
game_000191,1
game_000191,2
game_000192,1
game_000192,25
game_000192,4
game_000192,23
game_000192,29
game_000192,3
game_000192,28
game_000192,2
game_000192,37
game_000193,1
game_000193,25
game_000193,29
game_000194,1
game_000194,4
game_000194,23
game_000195,1
game_000196,1
game_000196,37
game_000197,1
game_000197,23
game_000197,29
game_000197,3
game_000197,28
game_000197,37
game_000198,25
game_000198,23
game_000198,3
game_000198,70
game_000199,1
game_000199,3
game_000200,1
game_000200,25
game_000200,23
game_000201,1
game_000201,25
game_000202,1
game_000202,25
game_000202,3
game_000203,1
game_000203,25
game_000203,3
game_000204,1
game_000204,25
game_000204,23
game_000204,28
game_000204,70
game_000205,1
game_000205,25
game_000205,3
game_000206,1
game_000207,25
game_000207,23
game_000207,28
game_000207,2
game_000208,1
game_000208,25
game_000208,4
game_000209,1
game_000209,23
game_000210,1
game_000210,25
game_000210,23
game_000210,29
game_000211,1
game_000211,37
game_000211,23
game_000212,3
game_000213,25
game_000213,23
game_000213,3
game_000213,28
game_000214,1
game_000214,3
game_000215,1
game_000216,1
game_000216,25
game_000216,23
game_000216,3
game_000217,25
game_000218,2
game_000219,25
game_000219,23
game_000219,28
game_000220,28
game_000220,18
game_000221,1
game_000221,23
game_000221,28
game_000221,2
game_000222,1
game_000222,25
game_000222,29
game_000222,3
game_000222,28
game_000222,2
game_000223,1
game_000223,25
game_000223,3
game_000224,1
game_000224,3
game_000225,1
game_000225,23
game_000226,1
game_000227,1
game_000227,2
game_000228,1
game_000228,25
game_000228,23
game_000228,2
game_000229,3
game_000230,1
game_000230,25
game_000231,1
game_000231,23
game_000232,1
game_000232,25
game_000232,3
game_000233,25
game_000233,23
game_000233,28
game_000234,2
game_000235,2
game_000236,1
game_000236,25
game_000236,29
game_000236,3
game_000236,28
game_000236,2
game_000237,1
game_000237,25
game_000238,1
game_000238,37
game_000238,29
game_000239,1
game_000239,25
game_000239,23
game_000239,3
game_000240,1
game_000240,25
game_000240,23
game_000240,3
game_000241,1
game_000241,25
game_000241,23
game_000242,1
game_000242,23
game_000242,3
game_000242,28
game_000242,2
game_000243,1
game_000243,25
game_000244,1
game_000244,4
game_000244,23
game_000244,3
game_000244,37
game_000245,1
game_000245,25
game_000246,25
game_000246,23
game_000247,1
game_000247,25
game_000248,1
game_000248,23
game_000248,28
game_000249,1
game_000249,25
game_000249,4
game_000249,23
game_000249,29
game_000249,28
game_000249,2
game_000249,37
game_000250,1
game_000250,25
game_000250,23
game_000250,29
game_000250,28
game_000250,70
game_000251,1
game_000251,29
game_000251,9
game_000252,1
game_000252,25
game_000252,3
game_000253,1
game_000253,23
game_000253,37
game_000254,1
game_000254,18
game_000255,1
game_000255,25
game_000255,4
game_000255,29
game_000255,3
game_000255,37
game_000256,28
game_000256,18
game_000256,37
game_000257,1
game_000257,25
game_000258,23
game_000258,9
game_000258,28
game_000259,1
game_000260,4
game_000260,2
game_000260,37
game_000262,25
game_000262,23
game_000263,1
game_000263,25
game_000264,52
game_000264,57
game_000265,2
game_000266,4
game_000266,28
game_000266,2
game_000267,1
game_000267,29
game_000267,28
game_000267,37
game_000268,3
game_000269,1
game_000269,23
game_000269,37
game_000270,1
game_000270,25
game_000270,23
game_000271,23
game_000271,28
game_000271,2
game_000271,70
game_000272,1
game_000272,25
game_000273,28
game_000274,1
game_000274,25
game_000275,25
game_000275,23
game_000276,1
game_000276,4
game_000276,29
game_000276,9
game_000276,28
game_000276,18
game_000277,1
game_000278,29
game_000278,3
game_000278,37
game_000279,25
game_000279,23
game_000279,3
game_000280,1
game_000280,3
game_000281,1
game_000281,25
game_000282,1
game_000283,23
game_000284,1
game_000284,25
game_000284,23
game_000285,1
game_000285,25
game_000286,1
game_000286,25
game_000287,1
game_000287,25
game_000288,1
game_000288,29
game_000288,37
game_000289,1
game_000289,37
game_000290,1
game_000290,25
game_000291,2
game_000292,1
game_000292,25
game_000292,23
game_000292,28
game_000293,25
game_000293,23
game_000293,3
game_000294,25
game_000294,23
game_000294,3
game_000295,29
game_000295,3
game_000296,4
game_000296,23
game_000296,28
game_000296,2
game_000297,1
game_000297,25
game_000298,1
game_000298,25
game_000299,1
game_000299,25
game_000299,23
game_000299,3
game_000299,28
game_000300,3
game_000301,1
game_000301,3
game_000302,1
game_000302,25
game_000302,23
game_000302,3
game_000302,70
game_000303,1
game_000304,1
game_000304,25
game_000304,29
game_000305,1
game_000305,25
game_000306,1
game_000307,1
game_000308,25
game_000308,4
game_000308,23
game_000308,29
game_000308,28
game_000308,2
game_000308,37
game_000309,1
game_000309,25
game_000309,23
game_000309,29
game_000309,3
game_000309,70
game_000310,25
game_000310,4
game_000310,23
game_000310,37
game_000311,1
game_000311,23
game_000311,28
game_000311,2
game_000312,23
game_000312,28
game_000312,2
game_000313,1
game_000314,28
game_000314,18
game_000315,28
game_000316,23
game_000317,3
game_000317,28
game_000317,37
game_000318,1
game_000318,25
game_000318,23
game_000319,1
game_000319,25
game_000320,1
game_000320,23
game_000320,37
game_000321,25
game_000321,23
game_000322,3
game_000322,28
game_000322,2
game_000322,37
game_000323,1
game_000323,29
game_000323,37
game_000324,1
game_000324,25
game_000325,25
game_000326,1
game_000326,23
game_000326,70
game_000327,28
game_000328,25
game_000328,4
game_000328,29
game_000328,3
game_000328,28
game_000328,18
game_000328,37
game_000329,1
game_000329,25
game_000329,3
game_000330,1
game_000330,25
game_000330,23
game_000331,23
game_000332,1
game_000333,51
game_000333,53
game_000333,58
game_000334,1
game_000334,4
game_000334,23
game_000335,23
game_000335,28
game_000335,2
game_000336,28
game_000336,2
game_000336,70
game_000337,1
game_000337,25
game_000337,4
game_000337,23
game_000338,25
game_000338,4
game_000338,29
game_000338,37
game_000339,1
game_000339,25
game_000340,1
game_000340,4
game_000341,1
game_000342,1
game_000342,25
game_000343,1
game_000343,23
game_000344,4
game_000344,23
game_000344,3
game_000344,28
game_000344,2
game_000346,1
game_000346,25
game_000346,4
game_000346,28
game_000346,2
game_000347,1
game_000348,1
game_000348,25
game_000348,9
game_000349,1
game_000349,25
game_000350,1
game_000351,4
game_000351,23
game_000351,28
game_000352,1
game_000353,4
game_000353,23
game_000353,28
game_000354,1
game_000354,25
game_000354,3
game_000355,1
game_000355,25
game_000355,23
game_000356,29
game_000356,3
game_000356,37
game_000357,1
game_000357,25
game_000357,23
game_000357,3
game_000358,1
game_000359,4
game_000359,23
game_000359,28
game_000359,37
game_000360,4
game_000360,23
game_000360,18
game_000361,1
game_000361,25
game_000362,1
game_000363,1
game_000363,25
game_000363,23
game_000364,1
game_000364,25
game_000365,1
game_000365,23
game_000366,1
game_000366,23
game_000367,1
game_000367,25
game_000367,4
game_000367,3
game_000367,28
game_000367,2
game_000368,4
game_000368,23
game_000368,29
game_000369,29
game_000369,28
game_000369,18
game_000369,37
game_000370,1
game_000370,3
game_000371,28
game_000372,1
game_000372,23
game_000373,1
game_000374,1
game_000374,25
game_000376,1
game_000376,25
game_000376,23
game_000376,3
game_000376,2
game_000376,37
game_000377,1
game_000377,25
game_000377,23
game_000378,25
game_000378,23
game_000378,28
game_000378,2
game_000379,2
game_000380,1
game_000380,25
game_000380,29
game_000380,9
game_000380,37
game_000381,1
game_000381,23
game_000381,3
game_000382,1
game_000382,4
game_000382,23
game_000383,1
game_000384,1
game_000384,25
game_000385,1
game_000386,1
game_000386,3
game_000386,28
game_000387,1
game_000387,25
game_000388,1
game_000389,1
game_000390,25
game_000390,4
game_000390,23
game_000390,3
game_000390,28
game_000390,2
game_000390,37
game_000391,1
game_000391,25
game_000392,1
game_000393,1
game_000394,28
game_000394,18
game_000395,25
game_000395,4
game_000395,23
game_000395,3
game_000395,2
game_000396,1
game_000396,25
game_000396,3
game_000397,1
game_000397,25
game_000397,23
game_000397,3
game_000398,1
game_000398,25
game_000398,3
game_000399,1
game_000399,25
game_000399,4
game_000399,23
game_000399,28
game_000400,1
game_000401,1
game_000401,37
game_000402,1
game_000402,29
game_000402,28
game_000402,70
game_000403,4
game_000403,23
game_000403,37
game_000404,1
game_000404,25
game_000405,1
game_000405,25
game_000405,4
game_000405,23
game_000406,1
game_000406,25
game_000406,3
game_000407,1
game_000407,37
game_000407,23
game_000408,1
game_000408,3
game_000409,1
game_000410,1
game_000410,29
game_000410,28
game_000410,2
game_000411,1
game_000411,25
game_000411,23
game_000411,3
game_000411,28
game_000412,1
game_000413,1
game_000413,3
game_000414,1
game_000414,25
game_000414,23
game_000415,1
game_000415,25
game_000416,1
game_000416,37
game_000417,1
game_000417,37
game_000418,1
game_000419,1
game_000419,37
game_000419,70
game_000420,1
game_000420,25
game_000421,1
game_000421,25
game_000422,1
game_000423,2
game_000424,1
game_000424,3
game_000425,28
game_000425,18
game_000426,1
game_000427,1
game_000428,1
game_000428,25
game_000428,9
game_000429,1
game_000430,4
game_000430,23
game_000430,28
game_000430,2
game_000431,1
game_000431,25
game_000431,23
game_000432,1
game_000433,1
game_000433,25
game_000433,23
game_000433,3
game_000433,28
game_000434,1
game_000434,25
game_000435,1
game_000435,23
game_000436,1
game_000436,25
game_000437,1
game_000437,3
game_000438,1
game_000438,25
game_000439,1
game_000439,37
game_000440,25
game_000441,28
game_000441,2
game_000442,1
game_000442,4
game_000442,23
game_000443,25
game_000443,4
game_000443,23
game_000444,3
game_000445,1
game_000446,25
game_000446,4
game_000446,23
game_000446,28
game_000447,28
game_000448,1
game_000448,25
game_000448,4
game_000448,29
game_000449,1
game_000449,25
game_000449,3
game_000450,25
game_000450,23
game_000450,3
game_000451,28
game_000451,2
game_000452,3
game_000453,1
game_000453,25
game_000453,3
game_000454,1
game_000454,2
game_000455,4
game_000455,23
game_000455,28
game_000456,23
game_000456,28
game_000457,25
game_000457,23
game_000458,23
game_000458,28
game_000459,9
game_000459,28
game_000460,4
game_000461,1
game_000461,25
game_000461,23
game_000462,28
game_000462,18
game_000463,1
game_000463,25
game_000464,1
game_000464,25
game_000465,1
game_000465,25
game_000466,25
game_000466,4
game_000466,23
game_000467,3
game_000469,3
game_000470,1
game_000471,1
game_000471,25
game_000471,3
game_000471,70
game_000472,1
game_000472,25
game_000473,1
game_000473,25
game_000473,4
game_000473,29
game_000473,3
game_000474,28
game_000475,23
game_000475,28
game_000476,1
game_000476,9
game_000477,1
game_000477,25
game_000478,1
game_000478,25
game_000479,2
game_000480,4
game_000480,23
game_000480,28
game_000480,2
game_000480,70
game_000481,1
game_000481,37
game_000482,2
game_000482,37
game_000483,1
game_000483,4
game_000483,23
game_000484,1
game_000484,28
game_000485,1
game_000485,25
game_000485,3
game_000486,3
game_000487,1
game_000487,25
game_000487,4
