game_id,dlc_steam_appid
game_000001,2678630
game_000004,409210
game_000004,1323320
game_000005,4735150
game_000005,4735170
game_000005,4735130
game_000005,377560
game_000005,4770120
game_000005,4770140
game_000006,3891560
game_000006,1174370
game_000006,1353060
game_000006,1670430
game_000006,1701720
game_000007,629330
game_000009,2672610
game_000009,3288260
game_000010,2778590
game_000010,2778580
game_000011,2765950
game_000014,1790230
game_000015,440820
game_000016,4400940
game_000016,4348650
game_000016,2780810
game_000016,1456860
game_000016,4159240
game_000016,2604420
game_000016,3977520
game_000016,3335300
game_000016,3323360
game_000016,3354860
game_000016,3323350
game_000016,3034950
game_000016,933610
game_000016,3034940
game_000016,2780800
game_000016,3035040
game_000016,2932420
game_000016,2579670
game_000016,1967650
game_000016,1918370
game_000016,1967640
game_000016,1209460
game_000016,1056760
game_000016,925580
game_000016,558244
game_000016,531130
game_000016,304212
game_000016,227310
game_000016,558245
game_000016,1704460
game_000016,531131
game_000016,304214
game_000016,1056761
game_000016,461244
game_000016,1299530
game_000016,461249
game_000016,388477
game_000016,1117140
game_000016,2833100
game_000016,1209461
game_000016,388475
game_000016,388470
game_000016,1415700
game_000016,318521
game_000016,461242
game_000016,526950
game_000016,558243
game_000016,292320
game_000016,258460
game_000016,266930
game_000016,318520
game_000016,925650
game_000016,461248
game_000016,266931
game_000016,347212
game_000016,558240
game_000016,304210
game_000016,297790
game_000016,301180
game_000016,318511
game_000016,461240
game_000016,304020
game_000016,318500
game_000016,461243
game_000016,461246
game_000016,388479
game_000016,347190
game_000016,347211
game_000016,540720
game_000016,347210
game_000016,980590
game_000016,980591
game_000016,980592
game_000016,388471
game_000016,909640
game_000016,461241
game_000016,876980
game_000016,318510
game_000016,388476
game_000016,558241
game_000016,1159030
game_000016,297791
game_000016,297792
game_000016,297793
game_000016,540721
game_000016,388474
game_000016,304213
game_000016,304211
game_000016,304140
game_000016,388472
game_000016,461245
game_000016,461247
game_000016,558242
game_000016,1650650
game_000016,1068290
game_000016,2004210
game_000016,2193220
game_000016,1536500
game_000016,2371170
game_000016,2455690
game_000016,2569750
game_000016,2611740
game_000016,347213
game_000016,3796990
game_000016,3809270
game_000016,3851260
game_000016,3872920
game_000016,4400930
game_000017,2138330
game_000017,1495710
game_000017,2060310
game_000018,355880
game_000018,378649
game_000018,370000
game_000018,370001
game_000018,370002
game_000018,370003
game_000018,373950
game_000018,373951
game_000018,376390
game_000018,376391
game_000018,378640
game_000018,378641
game_000018,378642
game_000018,378643
game_000018,378644
game_000018,378645
game_000018,378646
game_000018,378647
game_000018,378648
game_000018,1229320
game_000018,1233280
game_000018,1233340
game_000019,4791830
game_000019,4318580
game_000019,4019590
game_000019,3884020
game_000019,3796620
game_000019,3698790
game_000019,3448670
game_000019,3261720
game_000019,3103150
game_000019,3024580
game_000019,2958440
game_000019,2661270
game_000019,2661250
game_000019,2922730
game_000019,2526530
game_000019,2526540
game_000019,2526550
game_000019,2656010
game_000019,1135280
game_000019,2515990
game_000019,2469400
game_000019,2399750
game_000019,2102730
game_000019,1899750
game_000019,1634040
game_000019,1622941
game_000019,1622940
game_000019,700282
game_000019,1009821
game_000019,750381
game_000019,700280
game_000019,1089270
game_000019,1324970
game_000019,661770
game_000019,509060
game_000019,573940
game_000019,627510
game_000019,492140
game_000021,2378500
game_000021,2956320
game_000022,4740880
game_000022,4739380
game_000022,4640460
game_000022,4640480
game_000022,4640470
game_000022,4078890
game_000022,4078900
game_000022,4078910
game_000022,4184650
game_000022,4434690
game_000022,1947130
game_000022,3543750
game_000022,4078870
game_000022,4184660
game_000022,1108450
game_000022,1233370
game_000022,2054413
game_000022,1368800
game_000022,1423760
game_000022,1368801
game_000022,1368110
game_000022,1937490
game_000022,1582830
game_000022,3752060
game_000022,3752050
game_000022,3752040
game_000022,3386550
game_000022,1247130
game_000022,1247140
game_000022,2500430
game_000022,2500440
game_000022,1247150
game_000022,1945930
game_000022,1945840
game_000022,1945841
game_000024,3537070
game_000024,3820060
game_000024,3761020
game_000024,1887560
game_000024,1691800
game_000024,1113410
game_000024,1100810
game_000024,642250
game_000024,887380
game_000024,708770
game_000024,512540
game_000024,508150
game_000024,473850
game_000024,1270830
game_000024,1646550
game_000024,1646690
game_000024,1646700
game_000024,1646720
game_000025,4200760
game_000025,4512480
game_000025,4233760
game_000025,4085000
game_000025,4085010
game_000025,4085020
game_000025,4085030
game_000025,4085040
game_000025,4085060
game_000025,4085070
game_000025,4085080
game_000025,4085090
game_000025,4085110
game_000025,4085120
game_000025,4085130
game_000025,4098660
game_000025,3997750
game_000025,3696030
game_000025,3498090
game_000025,3159170
game_000025,2790750
game_000025,2790730
game_000025,2790710
game_000025,2790670
game_000025,2790660
game_000025,2783780
game_000025,2795080
game_000025,2783770
game_000025,2775840
game_000025,2731850
game_000025,2686650
game_000025,2625050
game_000025,2596430
game_000025,2534810
game_000025,2493660
game_000025,2459970
game_000025,2433000
game_000025,2396490
game_000025,2387940
game_000025,2354080
game_000025,2316850
game_000025,2278280
game_000025,2137910
game_000025,2127791
game_000025,2127790
game_000025,2053671
game_000027,4543600
game_000027,3188980
game_000027,3847540
game_000027,2353512
game_000027,2353511
game_000027,2353510
game_000027,2352300
game_000027,2215010
game_000027,2200970
game_000027,2218650
game_000027,2200971
game_000027,2074240
game_000027,2074230
game_000027,2074220
game_000027,2076560
game_000027,1945681
game_000027,1945682
game_000027,1945680
game_000027,1906240
game_000027,1907080
game_000027,1901420
game_000027,1824880
game_000027,1778790
game_000027,1778791
game_000027,1746580
game_000027,1654480
game_000027,1654481
game_000027,1619070
game_000027,1555040
game_000027,1555050
game_000027,1449450
game_000027,1449440
game_000027,1449442
game_000027,1449441
game_000027,1347750
game_000027,1347751
game_000027,1351060
game_000027,1252200
game_000027,1255151
game_000027,1255150
game_000027,1255152
game_000027,1184411
game_000027,1184412
game_000027,758420
game_000027,1184410
game_000027,612900
game_000027,548421
game_000027,548420
game_000027,487210
game_000027,450660
game_000027,468410
game_000027,441600
game_000027,433730
game_000027,401650
game_000027,384020
game_000027,384021
game_000027,374301
game_000027,374300
game_000027,366660
game_000027,368870
game_000027,349830
game_000027,358150
game_000027,351890
game_000027,348090
game_000027,344140
game_000027,339480
game_000027,337661
game_000027,337660
game_000027,331900
game_000027,323500
game_000027,320030
game_000027,311050
game_000027,306690
game_000027,259380
game_000027,259381
